"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	2468	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2179	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2276	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	2008	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	1910	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	1934	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	1949	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	1966	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	1928	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	2020	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	2000	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	2172	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	2236	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2176	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2183	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	2001	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	2029	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	1978	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	1989	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	2026	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	1959	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	2042	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	2124	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	2355	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	2314	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2076	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2264	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	2105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	2097	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	1964	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	2029	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	1998	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	2029	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	2084	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	2073	Not Applicable	Not Applicable
