"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	16	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	20	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	21	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	21	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	21	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	22	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	23	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	23	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	23	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	23	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	24	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	24	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	24	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	24	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	24	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	24	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	24	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	24	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	25	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	25	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	25	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	25	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	25	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	25	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	25	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	25	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	25	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	26	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	26	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	26	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	26	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	26	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	27	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	27	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	27	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	27	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	27	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	27	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	27	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	27	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	27	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	27	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	28	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	28	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Mar., 2019"	"2019/03"	28	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	28	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	28	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	28	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	28	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	28	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	28	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	28	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	28	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	28	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Dec., 2019"	"2019/12"	28	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	29	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	29	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	29	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	29	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	29	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	29	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	29	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	29	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	29	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	29	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	29	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Male"	"M"	"2019"	"2019"	"Feb., 2019"	"2019/02"	29	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"Dec., 2019"	"2019/12"	30	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	30	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	30	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	30	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	30	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	30	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	30	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	30	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	30	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	30	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	30	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	30	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	30	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	31	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	31	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	31	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	31	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	31	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	31	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	31	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	31	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	31	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	31	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	31	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	31	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	32	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	32	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	32	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	32	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	32	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	32	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	32	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	32	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	32	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	32	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Dec., 2019"	"2019/12"	32	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	32	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	32	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	32	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	33	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	33	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	33	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	33	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	33	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	33	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	33	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	33	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	33	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	33	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	33	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Male"	"M"	"2016"	"2016"	"Nov., 2016"	"2016/11"	33	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	34	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	34	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	34	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	34	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	34	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	34	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2016"	"2016"	"Mar., 2016"	"2016/03"	34	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	34	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	34	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	34	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Male"	"M"	"2019"	"2019"	"Jun., 2019"	"2019/06"	34	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	34	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	34	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	34	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	34	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	34	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	34	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	34	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	34	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	34	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	34	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	34	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	35	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	35	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	35	Not Applicable	Not Applicable
	"Alaska"	"02"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	35	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	35	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	35	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	35	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	35	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	35	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	35	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	35	Not Applicable	Not Applicable
	"Vermont"	"50"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	35	Not Applicable	Not Applicable
