"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	2505	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2211	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2311	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	2062	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	1953	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	1969	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	1996	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	2016	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	1972	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	2052	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	2043	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	2216	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	2286	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2215	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2226	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	2048	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	2064	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	2018	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	2025	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	2067	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	2003	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	2089	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	2169	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	2408	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	2361	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2306	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	2145	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	2147	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	2011	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	2060	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	2030	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	2061	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	2115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	2111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	2398	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	2832	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2191	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2258	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	2143	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	2133	Not Applicable	Not Applicable
