"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Jan., 2017"	"2017/01"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Feb., 2017"	"2017/02"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Mar., 2017"	"2017/03"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Apr., 2017"	"2017/04"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"May, 2017"	"2017/05"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Jun., 2017"	"2017/06"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Aug., 2017"	"2017/08"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Sep., 2017"	"2017/09"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Oct., 2017"	"2017/10"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Nov., 2017"	"2017/11"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Dec., 2017"	"2017/12"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Jan., 2017"	"2017/01"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Mar., 2017"	"2017/03"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Apr., 2017"	"2017/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"May, 2017"	"2017/05"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Jun., 2017"	"2017/06"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Jul., 2017"	"2017/07"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Aug., 2017"	"2017/08"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Oct., 2017"	"2017/10"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Nov., 2017"	"2017/11"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Dec., 2017"	"2017/12"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Jan., 2017"	"2017/01"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Feb., 2017"	"2017/02"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Mar., 2017"	"2017/03"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Apr., 2017"	"2017/04"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"May, 2017"	"2017/05"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Jun., 2017"	"2017/06"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Jul., 2017"	"2017/07"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Aug., 2017"	"2017/08"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Sep., 2017"	"2017/09"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Oct., 2017"	"2017/10"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Nov., 2017"	"2017/11"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Dec., 2017"	"2017/12"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Jan., 2017"	"2017/01"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Feb., 2017"	"2017/02"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Mar., 2017"	"2017/03"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Apr., 2017"	"2017/04"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"May, 2017"	"2017/05"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Jun., 2017"	"2017/06"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Jul., 2017"	"2017/07"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Aug., 2017"	"2017/08"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Sep., 2017"	"2017/09"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Oct., 2017"	"2017/10"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Nov., 2017"	"2017/11"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Dec., 2017"	"2017/12"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Jan., 2017"	"2017/01"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Feb., 2017"	"2017/02"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Mar., 2017"	"2017/03"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Apr., 2017"	"2017/04"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"May, 2017"	"2017/05"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Jun., 2017"	"2017/06"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Jul., 2017"	"2017/07"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Aug., 2017"	"2017/08"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Sep., 2017"	"2017/09"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Oct., 2017"	"2017/10"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Nov., 2017"	"2017/11"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Dec., 2017"	"2017/12"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Jan., 2017"	"2017/01"	264	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Feb., 2017"	"2017/02"	247	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Mar., 2017"	"2017/03"	276	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Apr., 2017"	"2017/04"	252	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"May, 2017"	"2017/05"	245	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Jun., 2017"	"2017/06"	257	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Jul., 2017"	"2017/07"	249	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Aug., 2017"	"2017/08"	253	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Sep., 2017"	"2017/09"	255	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Oct., 2017"	"2017/10"	277	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Nov., 2017"	"2017/11"	251	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Dec., 2017"	"2017/12"	307	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Jan., 2017"	"2017/01"	446	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Feb., 2017"	"2017/02"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Mar., 2017"	"2017/03"	427	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Apr., 2017"	"2017/04"	396	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"May, 2017"	"2017/05"	385	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Jun., 2017"	"2017/06"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Jul., 2017"	"2017/07"	413	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Aug., 2017"	"2017/08"	373	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Sep., 2017"	"2017/09"	376	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Oct., 2017"	"2017/10"	427	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Nov., 2017"	"2017/11"	397	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Dec., 2017"	"2017/12"	439	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Jan., 2017"	"2017/01"	578	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Feb., 2017"	"2017/02"	525	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Mar., 2017"	"2017/03"	570	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Apr., 2017"	"2017/04"	546	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"May, 2017"	"2017/05"	580	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Jun., 2017"	"2017/06"	518	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Jul., 2017"	"2017/07"	523	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Aug., 2017"	"2017/08"	517	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Sep., 2017"	"2017/09"	494	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Oct., 2017"	"2017/10"	549	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Nov., 2017"	"2017/11"	538	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Dec., 2017"	"2017/12"	592	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Jan., 2017"	"2017/01"	807	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Feb., 2017"	"2017/02"	716	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Mar., 2017"	"2017/03"	769	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Apr., 2017"	"2017/04"	689	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"May, 2017"	"2017/05"	660	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Jun., 2017"	"2017/06"	639	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Jul., 2017"	"2017/07"	615	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Aug., 2017"	"2017/08"	657	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Sep., 2017"	"2017/09"	706	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Oct., 2017"	"2017/10"	666	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Nov., 2017"	"2017/11"	679	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"85+ years"	"85+"	"Dec., 2017"	"2017/12"	824	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Jan., 2017"	"2017/01"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Feb., 2017"	"2017/02"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Mar., 2017"	"2017/03"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Apr., 2017"	"2017/04"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"May, 2017"	"2017/05"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Jun., 2017"	"2017/06"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Jul., 2017"	"2017/07"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Aug., 2017"	"2017/08"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Sep., 2017"	"2017/09"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Oct., 2017"	"2017/10"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Nov., 2017"	"2017/11"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	"Dec., 2017"	"2017/12"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"5-14 years"	"5-14"	"Dec., 2017"	"2017/12"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Jan., 2017"	"2017/01"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Feb., 2017"	"2017/02"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Mar., 2017"	"2017/03"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Apr., 2017"	"2017/04"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"May, 2017"	"2017/05"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Jun., 2017"	"2017/06"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Jul., 2017"	"2017/07"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Aug., 2017"	"2017/08"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Sep., 2017"	"2017/09"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Oct., 2017"	"2017/10"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Nov., 2017"	"2017/11"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"15-24 years"	"15-24"	"Dec., 2017"	"2017/12"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Jan., 2017"	"2017/01"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Feb., 2017"	"2017/02"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Mar., 2017"	"2017/03"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Apr., 2017"	"2017/04"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"May, 2017"	"2017/05"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Jun., 2017"	"2017/06"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Jul., 2017"	"2017/07"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Aug., 2017"	"2017/08"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"Sep., 2017"	"2017/09"	66	Not Applicable	Not Applicable
