"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jan., 2010"	"2010/01"	387	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Feb., 2010"	"2010/02"	399	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Mar., 2010"	"2010/03"	394	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Apr., 2010"	"2010/04"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"May, 2010"	"2010/05"	385	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jun., 2010"	"2010/06"	375	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jul., 2010"	"2010/07"	396	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Aug., 2010"	"2010/08"	390	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Sep., 2010"	"2010/09"	366	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Oct., 2010"	"2010/10"	344	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Nov., 2010"	"2010/11"	353	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Dec., 2010"	"2010/12"	448	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jan., 2011"	"2011/01"	411	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Feb., 2011"	"2011/02"	379	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Mar., 2011"	"2011/03"	403	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Apr., 2011"	"2011/04"	468	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"May, 2011"	"2011/05"	364	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jun., 2011"	"2011/06"	353	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jul., 2011"	"2011/07"	406	Not Applicable	Not Applicable
