"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jan., 2010"	"2010/01"	2199	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Feb., 2010"	"2010/02"	1931	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Mar., 2010"	"2010/03"	1974	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Apr., 2010"	"2010/04"	1847	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"May, 2010"	"2010/05"	1836	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jun., 2010"	"2010/06"	1787	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jul., 2010"	"2010/07"	1871	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Aug., 2010"	"2010/08"	1825	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Sep., 2010"	"2010/09"	1792	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Oct., 2010"	"2010/10"	1862	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Nov., 2010"	"2010/11"	1809	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Dec., 2010"	"2010/12"	2128	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jan., 2011"	"2011/01"	2225	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Feb., 2011"	"2011/02"	1963	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Mar., 2011"	"2011/03"	1972	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Apr., 2011"	"2011/04"	1946	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"May, 2011"	"2011/05"	1916	Not Applicable	Not Applicable
