"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jan., 2010"	"2010/01"	2304	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Feb., 2010"	"2010/02"	2017	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Mar., 2010"	"2010/03"	2060	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Apr., 2010"	"2010/04"	1942	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"May, 2010"	"2010/05"	1938	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jun., 2010"	"2010/06"	1873	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Jul., 2010"	"2010/07"	1951	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Aug., 2010"	"2010/08"	1909	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Sep., 2010"	"2010/09"	1890	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Oct., 2010"	"2010/10"	1974	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Nov., 2010"	"2010/11"	1893	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	"Dec., 2010"	"2010/12"	2235	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jan., 2011"	"2011/01"	2308	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Feb., 2011"	"2011/02"	2043	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Mar., 2011"	"2011/03"	2072	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Apr., 2011"	"2011/04"	2085	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"May, 2011"	"2011/05"	1997	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jun., 2011"	"2011/06"	1831	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Jul., 2011"	"2011/07"	1916	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Aug., 2011"	"2011/08"	1889	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Sep., 2011"	"2011/09"	1798	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Oct., 2011"	"2011/10"	2019	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Nov., 2011"	"2011/11"	1998	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2011"	"2011"	"Dec., 2011"	"2011/12"	2114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Jan., 2012"	"2012/01"	2171	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Feb., 2012"	"2012/02"	2053	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Mar., 2012"	"2012/03"	2041	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Apr., 2012"	"2012/04"	1967	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"May, 2012"	"2012/05"	1990	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Jun., 2012"	"2012/06"	1939	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Jul., 2012"	"2012/07"	1996	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Aug., 2012"	"2012/08"	1986	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Sep., 2012"	"2012/09"	1937	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Oct., 2012"	"2012/10"	2021	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Nov., 2012"	"2012/11"	2048	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2012"	"2012"	"Dec., 2012"	"2012/12"	2384	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Jan., 2013"	"2013/01"	2464	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2058	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2236	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Apr., 2013"	"2013/04"	2006	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"May, 2013"	"2013/05"	1961	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Jun., 2013"	"2013/06"	1872	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Jul., 2013"	"2013/07"	1888	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Aug., 2013"	"2013/08"	1869	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Sep., 2013"	"2013/09"	1790	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Oct., 2013"	"2013/10"	2058	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Nov., 2013"	"2013/11"	2031	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2013"	"2013"	"Dec., 2013"	"2013/12"	2187	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Jan., 2014"	"2014/01"	2369	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2013	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2084	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Apr., 2014"	"2014/04"	2020	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"May, 2014"	"2014/05"	2050	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Jun., 2014"	"2014/06"	1888	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Jul., 2014"	"2014/07"	1986	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Aug., 2014"	"2014/08"	1968	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Sep., 2014"	"2014/09"	1882	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Oct., 2014"	"2014/10"	2072	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Nov., 2014"	"2014/11"	2070	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2014"	"2014"	"Dec., 2014"	"2014/12"	2371	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	2505	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2211	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2311	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	2062	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	1953	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	1969	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	1996	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	2016	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	1972	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	2052	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	2043	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	2216	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	2286	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2215	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2226	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	2048	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"May, 2016"	"2016/05"	2064	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	2018	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	2025	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	2067	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	2003	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	2089	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	2169	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	2408	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	2361	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2306	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	2145	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	2147	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	2011	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	2060	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Aug., 2017"	"2017/08"	2030	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Sep., 2017"	"2017/09"	2061	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Oct., 2017"	"2017/10"	2115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Nov., 2017"	"2017/11"	2111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2017"	"2017"	"Dec., 2017"	"2017/12"	2398	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jan., 2018"	"2018/01"	2832	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2191	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2258	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Apr., 2018"	"2018/04"	2143	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"May, 2018"	"2018/05"	2133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jun., 2018"	"2018/06"	2017	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Jul., 2018"	"2018/07"	2056	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Aug., 2018"	"2018/08"	1994	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Sep., 2018"	"2018/09"	1984	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Oct., 2018"	"2018/10"	2150	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Nov., 2018"	"2018/11"	2159	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2018"	"2018"	"Dec., 2018"	"2018/12"	2361	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jan., 2019"	"2019/01"	2380	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Feb., 2019"	"2019/02"	2132	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Mar., 2019"	"2019/03"	2294	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Apr., 2019"	"2019/04"	2105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"May, 2019"	"2019/05"	2178	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jun., 2019"	"2019/06"	2110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Jul., 2019"	"2019/07"	2080	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Aug., 2019"	"2019/08"	2133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Sep., 2019"	"2019/09"	1992	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Oct., 2019"	"2019/10"	2106	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Nov., 2019"	"2019/11"	2164	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"2019"	"2019"	"Dec., 2019"	"2019/12"	2346	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"2010"	"2010"	"Jan., 2010"	"2010/01"	2169	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"2010"	"2010"	"Feb., 2010"	"2010/02"	2056	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"2010"	"2010"	"Mar., 2010"	"2010/03"	2201	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"2010"	"2010"	"Apr., 2010"	"2010/04"	1901	Not Applicable	Not Applicable
