"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"State"	"State Code"	"Year"	"Year Code"	Projected Populations
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2004"	"2004"	148659
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2005"	"2005"	148492
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2006"	"2006"	147010
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2007"	"2007"	146675
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2008"	"2008"	146441
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2009"	"2009"	146225
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2010"	"2010"	146076
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2011"	"2011"	145953
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2012"	"2012"	145811
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2013"	"2013"	145612
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2014"	"2014"	145331
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2015"	"2015"	144987
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2016"	"2016"	144656
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2017"	"2017"	144374
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2018"	"2018"	144194
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2019"	"2019"	144149
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2020"	"2020"	144267
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2021"	"2021"	144544
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2022"	"2022"	144988
	"0-4 years"	"0-4"	"Female"	"F"	"Alabama"	"01"	"2023"	"2023"	145572
