Country,Region,Date,Sex,Age,AgeInt,Metric,Measure,Value
USA,Alabama,2020-09-26,b,TOT,NA,Count,Deaths,3272
USA,Alabama,2020-09-26,f,0,1,Count,Deaths,0
USA,Alabama,2020-09-26,f,1,4,Count,Deaths,0
USA,Alabama,2020-09-26,f,5,10,Count,Deaths,0
USA,Alabama,2020-09-26,f,15,10,Count,Deaths,2
USA,Alabama,2020-09-26,f,25,10,Count,Deaths,8
USA,Alabama,2020-09-26,f,35,10,Count,Deaths,30
USA,Alabama,2020-09-26,f,45,10,Count,Deaths,86
USA,Alabama,2020-09-26,f,55,10,Count,Deaths,200
USA,Alabama,2020-09-26,f,65,10,Count,Deaths,347
USA,Alabama,2020-09-26,f,75,10,Count,Deaths,422
USA,Alabama,2020-09-26,f,85,20,Count,Deaths,519
USA,Alabama,2020-09-26,f,TOT,NA,Count,Deaths,1614
USA,Alabama,2020-09-26,m,0,1,Count,Deaths,1
USA,Alabama,2020-09-26,m,1,4,Count,Deaths,0
USA,Alabama,2020-09-26,m,5,10,Count,Deaths,0
USA,Alabama,2020-09-26,m,15,10,Count,Deaths,4
USA,Alabama,2020-09-26,m,25,10,Count,Deaths,17
USA,Alabama,2020-09-26,m,35,10,Count,Deaths,43
USA,Alabama,2020-09-26,m,45,10,Count,Deaths,114
USA,Alabama,2020-09-26,m,55,10,Count,Deaths,247
USA,Alabama,2020-09-26,m,65,10,Count,Deaths,453
USA,Alabama,2020-09-26,m,75,10,Count,Deaths,465
USA,Alabama,2020-09-26,m,85,20,Count,Deaths,315
USA,Alabama,2020-09-26,m,TOT,NA,Count,Deaths,1658
USA,Alaska,2020-09-26,b,TOT,NA,Count,Deaths,42
USA,Alaska,2020-09-26,f,0,1,Count,Deaths,0
USA,Alaska,2020-09-26,f,1,4,Count,Deaths,0
USA,Alaska,2020-09-26,f,5,10,Count,Deaths,0
USA,Alaska,2020-09-26,f,15,10,Count,Deaths,0
USA,Alaska,2020-09-26,f,25,10,Count,Deaths,1
USA,Alaska,2020-09-26,f,35,10,Count,Deaths,0
USA,Alaska,2020-09-26,f,45,10,Count,Deaths,1
USA,Alaska,2020-09-26,f,55,10,Count,Deaths,1
USA,Alaska,2020-09-26,f,65,10,Count,Deaths,3
USA,Alaska,2020-09-26,f,75,10,Count,Deaths,4
USA,Alaska,2020-09-26,f,85,20,Count,Deaths,6
USA,Alaska,2020-09-26,f,TOT,NA,Count,Deaths,15
USA,Alaska,2020-09-26,m,0,1,Count,Deaths,0
USA,Alaska,2020-09-26,m,1,4,Count,Deaths,0
USA,Alaska,2020-09-26,m,5,10,Count,Deaths,0
USA,Alaska,2020-09-26,m,15,10,Count,Deaths,0
USA,Alaska,2020-09-26,m,25,10,Count,Deaths,0
USA,Alaska,2020-09-26,m,35,10,Count,Deaths,0
USA,Alaska,2020-09-26,m,45,10,Count,Deaths,2
