Region,Date,Sex,Age,Deaths
Midwest,2020-09-26,b,TOT,30016
Midwest,2020-09-26,f,0,3
Midwest,2020-09-26,f,1,1
Midwest,2020-09-26,f,15,25
Midwest,2020-09-26,f,25,69
Midwest,2020-09-26,f,35,167
Midwest,2020-09-26,f,45,446
Midwest,2020-09-26,f,5,2
Midwest,2020-09-26,f,55,1231
Midwest,2020-09-26,f,65,2468
Midwest,2020-09-26,f,75,3707
Midwest,2020-09-26,f,85,6150
Midwest,2020-09-26,f,TOT,14261
Midwest,2020-09-26,m,0,2
Midwest,2020-09-26,m,1,1
Midwest,2020-09-26,m,15,23
Midwest,2020-09-26,m,25,125
Midwest,2020-09-26,m,35,330
Midwest,2020-09-26,m,45,908
Midwest,2020-09-26,m,5,1
Midwest,2020-09-26,m,55,2150
Midwest,2020-09-26,m,65,3937
Midwest,2020-09-26,m,75,4346
Midwest,2020-09-26,m,85,3934
Midwest,2020-09-26,m,TOT,15754
Midwest,2020-10-03,b,TOT,31077
Midwest,2020-10-03,f,0,3
Midwest,2020-10-03,f,1,1
Midwest,2020-10-03,f,15,25
Midwest,2020-10-03,f,25,69
Midwest,2020-10-03,f,35,171
Midwest,2020-10-03,f,45,455
Midwest,2020-10-03,f,5,2
Midwest,2020-10-03,f,55,1271
Midwest,2020-10-03,f,65,2549
Midwest,2020-10-03,f,75,3831
Midwest,2020-10-03,f,85,6362
Midwest,2020-10-03,f,TOT,14731
Midwest,2020-10-03,m,0,2
Midwest,2020-10-03,m,1,1
Midwest,2020-10-03,m,15,23
Midwest,2020-10-03,m,25,126
Midwest,2020-10-03,m,35,335
Midwest,2020-10-03,m,45,926
Midwest,2020-10-03,m,5,1
Midwest,2020-10-03,m,55,2213
Midwest,2020-10-03,m,65,4061
Midwest,2020-10-03,m,75,4530
Midwest,2020-10-03,m,85,4129
Midwest,2020-10-03,m,TOT,16345
Midwest,2020-10-10,b,TOT,31929
Midwest,2020-10-10,f,0,3
Midwest,2020-10-10,f,1,1
Midwest,2020-10-10,f,15,25
Midwest,2020-10-10,f,25,73
Midwest,2020-10-10,f,35,173
Midwest,2020-10-10,f,45,455
Midwest,2020-10-10,f,5,2
Midwest,2020-10-10,f,55,1297
Midwest,2020-10-10,f,65,2625
Midwest,2020-10-10,f,75,3930
Midwest,2020-10-10,f,85,6519
Midwest,2020-10-10,f,TOT,15097
Midwest,2020-10-10,m,0,2
Midwest,2020-10-10,m,1,1
Midwest,2020-10-10,m,15,24
Midwest,2020-10-10,m,25,129
Midwest,2020-10-10,m,35,346
Midwest,2020-10-10,m,45,947
Midwest,2020-10-10,m,5,2
Midwest,2020-10-10,m,55,2253
Midwest,2020-10-10,m,65,4161
Midwest,2020-10-10,m,75,4686
Midwest,2020-10-10,m,85,4282
Midwest,2020-10-10,m,TOT,16831
Midwest,2020-10-17,b,TOT,33385
Midwest,2020-10-17,f,0,3
Midwest,2020-10-17,f,1,1
Midwest,2020-10-17,f,15,25
Midwest,2020-10-17,f,25,76
Midwest,2020-10-17,f,35,180
Midwest,2020-10-17,f,45,476
Midwest,2020-10-17,f,5,2
Midwest,2020-10-17,f,55,1340
Midwest,2020-10-17,f,65,2735
Midwest,2020-10-17,f,75,4106
Midwest,2020-10-17,f,85,6841
Midwest,2020-10-17,f,TOT,15778
Midwest,2020-10-17,m,0,2
Midwest,2020-10-17,m,1,1
Midwest,2020-10-17,m,15,24
Midwest,2020-10-17,m,25,130
Midwest,2020-10-17,m,35,354
Midwest,2020-10-17,m,45,983
Midwest,2020-10-17,m,5,2
Midwest,2020-10-17,m,55,2325
Midwest,2020-10-17,m,65,4324
Midwest,2020-10-17,m,75,4925
Midwest,2020-10-17,m,85,4540
Midwest,2020-10-17,m,TOT,17606
Midwest,2020-10-24,b,TOT,34811
Midwest,2020-10-24,f,0,3
Midwest,2020-10-24,f,1,1
Midwest,2020-10-24,f,15,25
Midwest,2020-10-24,f,25,79
Midwest,2020-10-24,f,35,183
Midwest,2020-10-24,f,45,481
Midwest,2020-10-24,f,5,2
Midwest,2020-10-24,f,55,1379
Midwest,2020-10-24,f,65,2826
Midwest,2020-10-24,f,75,4304
Midwest,2020-10-24,f,85,7193
Midwest,2020-10-24,f,TOT,16469
Midwest,2020-10-24,m,0,3
Midwest,2020-10-24,m,1,1
Midwest,2020-10-24,m,15,23
Midwest,2020-10-24,m,25,135
Midwest,2020-10-24,m,35,357
Midwest,2020-10-24,m,45,1009
Midwest,2020-10-24,m,5,2
Midwest,2020-10-24,m,55,2396
Midwest,2020-10-24,m,65,4460
Midwest,2020-10-24,m,75,5177
Midwest,2020-10-24,m,85,4782
Midwest,2020-10-24,m,TOT,18341
Midwest,2020-10-31,b,TOT,36453
Midwest,2020-10-31,f,0,3
Midwest,2020-10-31,f,1,1
Midwest,2020-10-31,f,15,27
Midwest,2020-10-31,f,25,82
Midwest,2020-10-31,f,35,189
Midwest,2020-10-31,f,45,493
Midwest,2020-10-31,f,5,2
Midwest,2020-10-31,f,55,1417
Midwest,2020-10-31,f,65,2939
Midwest,2020-10-31,f,75,4540
Midwest,2020-10-31,f,85,7602
Midwest,2020-10-31,f,TOT,17286
Midwest,2020-10-31,m,0,2
Midwest,2020-10-31,m,1,1
Midwest,2020-10-31,m,15,24
Midwest,2020-10-31,m,25,139
Midwest,2020-10-31,m,35,366
Midwest,2020-10-31,m,45,1038
Midwest,2020-10-31,m,5,2
Midwest,2020-10-31,m,55,2472
Midwest,2020-10-31,m,65,4631
Midwest,2020-10-31,m,75,5425
Midwest,2020-10-31,m,85,5068
Midwest,2020-10-31,m,TOT,19166
Midwest,2020-11-07,b,TOT,38970
Midwest,2020-11-07,f,0,3
Midwest,2020-11-07,f,1,1
Midwest,2020-11-07,f,15,27
Midwest,2020-11-07,f,25,84
Midwest,2020-11-07,f,35,195
Midwest,2020-11-07,f,45,519
Midwest,2020-11-07,f,5,2
Midwest,2020-11-07,f,55,1480
Midwest,2020-11-07,f,65,3107
Midwest,2020-11-07,f,75,4833
Midwest,2020-11-07,f,85,8226
Midwest,2020-11-07,f,TOT,18468
Midwest,2020-11-07,m,0,2
Midwest,2020-11-07,m,1,1
Midwest,2020-11-07,m,15,25
Midwest,2020-11-07,m,25,142
Midwest,2020-11-07,m,35,380
Midwest,2020-11-07,m,45,1074
Midwest,2020-11-07,m,5,2
Midwest,2020-11-07,m,55,2586
Midwest,2020-11-07,m,65,4896
Midwest,2020-11-07,m,75,5844
Midwest,2020-11-07,m,85,5551
Midwest,2020-11-07,m,TOT,20501
Midwest,2020-11-14,b,TOT,41287
Midwest,2020-11-14,f,0,3
Midwest,2020-11-14,f,1,1
Midwest,2020-11-14,f,15,28
Midwest,2020-11-14,f,25,86
Midwest,2020-11-14,f,35,199
Midwest,2020-11-14,f,45,535
Midwest,2020-11-14,f,5,2
Midwest,2020-11-14,f,55,1538
Midwest,2020-11-14,f,65,3258
Midwest,2020-11-14,f,75,5119
Midwest,2020-11-14,f,85,8733
Midwest,2020-11-14,f,TOT,19493
Midwest,2020-11-14,m,0,2
Midwest,2020-11-14,m,1,1
Midwest,2020-11-14,m,15,26
Midwest,2020-11-14,m,25,149
Midwest,2020-11-14,m,35,398
Midwest,2020-11-14,m,45,1123
Midwest,2020-11-14,m,5,2
Midwest,2020-11-14,m,55,2698
Midwest,2020-11-14,m,65,5167
Midwest,2020-11-14,m,75,6265
Midwest,2020-11-14,m,85,5965
Midwest,2020-11-14,m,TOT,21793
Midwest,2020-11-21,b,TOT,44722
Midwest,2020-11-21,f,0,3
Midwest,2020-11-21,f,1,1
Midwest,2020-11-21,f,15,29
Midwest,2020-11-21,f,25,90
Midwest,2020-11-21,f,35,206
Midwest,2020-11-21,f,45,566
Midwest,2020-11-21,f,5,2
Midwest,2020-11-21,f,55,1636
