Country,State,Date,Sex,Age,Deaths
USA,Alabama,2020-09-26,b,TOT,3272
USA,Alabama,2020-09-26,f,0,0
USA,Alabama,2020-09-26,f,1,0
USA,Alabama,2020-09-26,f,5,0
USA,Alabama,2020-09-26,f,15,2
USA,Alabama,2020-09-26,f,25,8
USA,Alabama,2020-09-26,f,35,30
USA,Alabama,2020-09-26,f,45,86
USA,Alabama,2020-09-26,f,55,200
USA,Alabama,2020-09-26,f,65,347
USA,Alabama,2020-09-26,f,75,422
USA,Alabama,2020-09-26,f,85,519
USA,Alabama,2020-09-26,f,TOT,1614
USA,Alabama,2020-09-26,m,0,1
USA,Alabama,2020-09-26,m,1,0
USA,Alabama,2020-09-26,m,5,0
USA,Alabama,2020-09-26,m,15,4
USA,Alabama,2020-09-26,m,25,17
USA,Alabama,2020-09-26,m,35,43
USA,Alabama,2020-09-26,m,45,114
USA,Alabama,2020-09-26,m,55,247
USA,Alabama,2020-09-26,m,65,453
USA,Alabama,2020-09-26,m,75,465
USA,Alabama,2020-09-26,m,85,315
USA,Alabama,2020-09-26,m,TOT,1658
USA,Alaska,2020-09-26,b,TOT,42
USA,Alaska,2020-09-26,f,0,0
USA,Alaska,2020-09-26,f,1,0
USA,Alaska,2020-09-26,f,5,0
USA,Alaska,2020-09-26,f,15,0
USA,Alaska,2020-09-26,f,25,1
USA,Alaska,2020-09-26,f,35,0
USA,Alaska,2020-09-26,f,45,1
USA,Alaska,2020-09-26,f,55,1
USA,Alaska,2020-09-26,f,65,3
USA,Alaska,2020-09-26,f,75,4
USA,Alaska,2020-09-26,f,85,6
USA,Alaska,2020-09-26,f,TOT,15
USA,Alaska,2020-09-26,m,0,0
USA,Alaska,2020-09-26,m,1,0
USA,Alaska,2020-09-26,m,5,0
USA,Alaska,2020-09-26,m,15,0
USA,Alaska,2020-09-26,m,25,0
USA,Alaska,2020-09-26,m,35,0
USA,Alaska,2020-09-26,m,45,2
USA,Alaska,2020-09-26,m,55,4
USA,Alaska,2020-09-26,m,65,6
USA,Alaska,2020-09-26,m,75,10
USA,Alaska,2020-09-26,m,85,6
USA,Alaska,2020-09-26,m,TOT,27
USA,Arizona,2020-09-26,b,TOT,4992
USA,Arizona,2020-09-26,f,0,0
USA,Arizona,2020-09-26,f,1,0
USA,Arizona,2020-09-26,f,5,0
USA,Arizona,2020-09-26,f,15,6
USA,Arizona,2020-09-26,f,25,30
USA,Arizona,2020-09-26,f,35,58
USA,Arizona,2020-09-26,f,45,112
USA,Arizona,2020-09-26,f,55,292
USA,Arizona,2020-09-26,f,65,459
USA,Arizona,2020-09-26,f,75,558
USA,Arizona,2020-09-26,f,85,607
USA,Arizona,2020-09-26,f,TOT,2122
USA,Arizona,2020-09-26,m,0,0
USA,Arizona,2020-09-26,m,1,1
USA,Arizona,2020-09-26,m,5,3
USA,Arizona,2020-09-26,m,15,14
USA,Arizona,2020-09-26,m,25,56
USA,Arizona,2020-09-26,m,35,110
USA,Arizona,2020-09-26,m,45,245
USA,Arizona,2020-09-26,m,55,498
USA,Arizona,2020-09-26,m,65,673
USA,Arizona,2020-09-26,m,75,744
USA,Arizona,2020-09-26,m,85,526
USA,Arizona,2020-09-26,m,TOT,2870
USA,Arkansas,2020-09-26,b,TOT,1173
USA,Arkansas,2020-09-26,f,0,0
USA,Arkansas,2020-09-26,f,1,0
USA,Arkansas,2020-09-26,f,5,0
USA,Arkansas,2020-09-26,f,15,2
USA,Arkansas,2020-09-26,f,25,7
USA,Arkansas,2020-09-26,f,35,12
USA,Arkansas,2020-09-26,f,45,21
USA,Arkansas,2020-09-26,f,55,63
USA,Arkansas,2020-09-26,f,65,90
USA,Arkansas,2020-09-26,f,75,137
USA,Arkansas,2020-09-26,f,85,211
USA,Arkansas,2020-09-26,f,TOT,543
USA,Arkansas,2020-09-26,m,0,0
USA,Arkansas,2020-09-26,m,1,0
USA,Arkansas,2020-09-26,m,5,0
USA,Arkansas,2020-09-26,m,15,2
USA,Arkansas,2020-09-26,m,25,7
USA,Arkansas,2020-09-26,m,35,10
USA,Arkansas,2020-09-26,m,45,45
USA,Arkansas,2020-09-26,m,55,100
USA,Arkansas,2020-09-26,m,65,142
USA,Arkansas,2020-09-26,m,75,185
USA,Arkansas,2020-09-26,m,85,139
USA,Arkansas,2020-09-26,m,TOT,630
USA,California,2020-09-26,b,TOT,14982
USA,California,2020-09-26,f,0,0
USA,California,2020-09-26,f,1,1
USA,California,2020-09-26,f,5,0
USA,California,2020-09-26,f,15,20
USA,California,2020-09-26,f,25,50
USA,California,2020-09-26,f,35,129
USA,California,2020-09-26,f,45,304
USA,California,2020-09-26,f,55,666
USA,California,2020-09-26,f,65,1143
USA,California,2020-09-26,f,75,1560
USA,California,2020-09-26,f,85,2428
USA,California,2020-09-26,f,TOT,6301
USA,California,2020-09-26,m,0,1
USA,California,2020-09-26,m,1,0
USA,California,2020-09-26,m,5,0
USA,California,2020-09-26,m,15,22
USA,California,2020-09-26,m,25,107
USA,California,2020-09-26,m,35,310
USA,California,2020-09-26,m,45,764
USA,California,2020-09-26,m,55,1577
USA,California,2020-09-26,m,65,2125
USA,California,2020-09-26,m,75,2001
USA,California,2020-09-26,m,85,1774
USA,California,2020-09-26,m,TOT,8681
USA,Colorado,2020-09-26,b,TOT,1960
USA,Colorado,2020-09-26,f,0,0
USA,Colorado,2020-09-26,f,1,0
